Total edges: 98
Source	Target	Weight
zeeguu.api.app	zeeguu.config.loader	1
zeeguu.api.app	zeeguu.core.model	1
zeeguu.api.app	zeeguu.logging	1
zeeguu.api.custom_fmd_graphs	zeeguu.core.model	1
zeeguu.api.endpoints	zeeguu.api.utils	57
zeeguu.api.endpoints	zeeguu.config	1
zeeguu.api.endpoints	zeeguu.core	13
zeeguu.api.endpoints	zeeguu.core.account_management	2
zeeguu.api.endpoints	zeeguu.core.content_recommender	3
zeeguu.api.endpoints	zeeguu.core.content_retriever	1
zeeguu.api.endpoints	zeeguu.core.crowd_translations	1
zeeguu.api.endpoints	zeeguu.core.emailer	5
zeeguu.api.endpoints	zeeguu.core.exercises	1
zeeguu.api.endpoints	zeeguu.core.model	59
zeeguu.api.endpoints	zeeguu.core.nlp_pipeline	1
zeeguu.api.endpoints	zeeguu.core.sql	4
zeeguu.api.endpoints	zeeguu.core.tokenization	2
zeeguu.api.endpoints	zeeguu.core.user_activity_hooks	1
zeeguu.api.endpoints	zeeguu.core.user_statistics	7
zeeguu.api.endpoints	zeeguu.core.word_scheduling	1
zeeguu.api.endpoints	zeeguu.logging	5
zeeguu.api.utils	zeeguu.api.endpoints	1
zeeguu.api.utils	zeeguu.core.model	1
zeeguu.api.utils	zeeguu.logging	2
zeeguu.cl.	zeeguu.api.app	1
zeeguu.core.account_management	zeeguu.core	2
zeeguu.core.account_management	zeeguu.core.emailer	1
zeeguu.core.account_management	zeeguu.core.model	3
zeeguu.core.bookmark_quality	zeeguu.core.model	2
zeeguu.core.content_cleaning	zeeguu.core	1
zeeguu.core.content_cleaning	zeeguu.core.model	1
zeeguu.core.content_quality	zeeguu.core.ml_models	1
zeeguu.core.content_quality	zeeguu.core.model	1
zeeguu.core.content_recommender	zeeguu.core.elastic	2
zeeguu.core.content_recommender	zeeguu.core.model	1
zeeguu.core.content_recommender	zeeguu.core.util	1
zeeguu.core.content_retriever	zeeguu.core	1
zeeguu.core.content_retriever	zeeguu.core.constants	1
zeeguu.core.content_retriever	zeeguu.core.content_cleaning	2
zeeguu.core.content_retriever	zeeguu.core.content_quality	1
zeeguu.core.content_retriever	zeeguu.core.elastic	2
zeeguu.core.content_retriever	zeeguu.core.model	6
zeeguu.core.content_retriever	zeeguu.core.semantic_search	1
zeeguu.core.content_retriever	zeeguu.logging	1
zeeguu.core.crowd_translations	zeeguu.core.model	2
zeeguu.core.elastic	zeeguu.core.model	5
zeeguu.core.elastic	zeeguu.core.semantic_vector_api	1
zeeguu.core.emailer	zeeguu.core.model	2
zeeguu.core.emailer	zeeguu.logging	1
zeeguu.core.exercises	zeeguu.core.word_filter	1
zeeguu.core.exercises	zeeguu.core.word_stats	1
zeeguu.core.feed_handler	zeeguu.core.util	1
zeeguu.core.feed_handler	zeeguu.logging	2
zeeguu.core.language	zeeguu.core	7
zeeguu.core.language	zeeguu.core.constants	3
zeeguu.core.language	zeeguu.core.model	3
zeeguu.core.language	zeeguu.core.util	5
zeeguu.core.ml_models	zeeguu.core.model	1
zeeguu.core.model	zeeguu.api.endpoints	1
zeeguu.core.model	zeeguu.api.utils	3
zeeguu.core.model	zeeguu.core	22
zeeguu.core.model	zeeguu.core.behavioral_modeling	1
zeeguu.core.model	zeeguu.core.bookmark_quality	1
zeeguu.core.model	zeeguu.core.constants	3
zeeguu.core.model	zeeguu.core.content_quality	1
zeeguu.core.model	zeeguu.core.content_retriever	2
zeeguu.core.model	zeeguu.core.definition_of_learned	1
zeeguu.core.model	zeeguu.core.elastic	1
zeeguu.core.model	zeeguu.core.feed_handler	1
zeeguu.core.model	zeeguu.core.language	1
zeeguu.core.model	zeeguu.core.sql	3
zeeguu.core.model	zeeguu.core.tokenization	2
zeeguu.core.model	zeeguu.core.util	13
zeeguu.core.model	zeeguu.core.word_scheduling	2
zeeguu.core.model	zeeguu.logging	7
zeeguu.core.reading_analysis	zeeguu.core.model	1
zeeguu.core.semantic_search	zeeguu.core.elastic	2
zeeguu.core.semantic_search	zeeguu.core.model	1
zeeguu.core.semantic_search	zeeguu.core.semantic_vector_api	1
zeeguu.core.semantic_search	zeeguu.core.util	1
zeeguu.core.semantic_vector_api	zeeguu.core.model	1
zeeguu.core.sql	zeeguu.core.model	2
zeeguu.core.tokenization	zeeguu.config	1
zeeguu.core.tokenization	zeeguu.core.model	3
zeeguu.core.user_activity_hooks	zeeguu.core.constants	1
zeeguu.core.user_activity_hooks	zeeguu.core.emailer	1
zeeguu.core.user_activity_hooks	zeeguu.core.model	1
zeeguu.core.user_activity_hooks	zeeguu.logging	1
zeeguu.core.user_statistics	zeeguu.core	5
zeeguu.core.user_statistics	zeeguu.core.constants	1
zeeguu.core.user_statistics	zeeguu.core.model	5
zeeguu.core.util	zeeguu.core	1
zeeguu.core.util	zeeguu.core.constants	1
zeeguu.core.util	zeeguu.core.language	1
zeeguu.core.util	zeeguu.core.model	2
zeeguu.core.util	zeeguu.core.tokenization	1
zeeguu.core.util	zeeguu.logging	1
zeeguu.core.word_scheduling	zeeguu.core.model	8
