Total nodes: 38
Name	Community	PageRank	Churn
zeeguu.api.app	1	0.02024	80
zeeguu.api.custom_fmd_graphs	2	0.01094	3
zeeguu.api.endpoints	5	0.01920	55
zeeguu.api.utils	5	0.02527	3
zeeguu.cl.	1	0.01094	?
zeeguu.config	0	0.01623	5
zeeguu.config.loader	1	0.01668	10
zeeguu.core	4	0.10435	8
zeeguu.core.account_management	4	0.01114	2
zeeguu.core.behavioral_modeling	2	0.01383	2
zeeguu.core.bookmark_quality	2	0.01383	3
zeeguu.core.constants	4	0.03433	6
zeeguu.core.content_cleaning	2	0.01285	3
zeeguu.core.content_quality	2	0.01478	1
zeeguu.core.content_recommender	2	0.01124	5
zeeguu.core.content_retriever	2	0.01681	12
zeeguu.core.crowd_translations	2	0.01104	8
zeeguu.core.definition_of_learned	2	0.01383	4
zeeguu.core.elastic	2	0.02455	2
zeeguu.core.emailer	5	0.01536	2
zeeguu.core.exercises	3	0.01104	2
zeeguu.core.feed_handler	2	0.01383	2
zeeguu.core.language	4	0.02133	2
zeeguu.core.ml_models	2	0.01722	3
zeeguu.core.model	2	0.22070	43
zeeguu.core.nlp_pipeline	5	0.01104	5
zeeguu.core.reading_analysis	2	0.01094	?
zeeguu.core.semantic_search	2	0.01189	6
zeeguu.core.semantic_vector_api	2	0.01644	7
zeeguu.core.sql	5	0.02000	2
zeeguu.core.tokenization	0	0.02442	3
zeeguu.core.user_activity_hooks	5	0.01104	2
zeeguu.core.user_statistics	4	0.01164	1
zeeguu.core.util	4	0.06183	9
zeeguu.core.word_filter	3	0.01563	1
zeeguu.core.word_scheduling	2	0.01681	5
zeeguu.core.word_stats	3	0.01563	3
zeeguu.logging	2	0.07111	2
